filename,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,label
possum_regression,1,-1,1,1,-1,0.6782831078495065,1,1,0.710826823,0.007833846
possum_regression,1,-1,0.9999999999999996,1,-1,1,0.9280399323095166,0.8576127511574664,0.6910936973935056,0.002962915
possum_regression,1,0.6390411481694287,0.996908451,1,2.124467126549406,0.5301406381737993,0.5529583869860526,0.17104651090999834,0.28742939982246773,4.8106817464280136e-05
possum_regression,1,-1,0.9999550346126215,1,-1,0.4250264688689979,0.7171471086620083,0.7176515548858572,0.3889409301056246,-3.53E-06
possum_regression,1,-1,0.7806548759518157,1,-1,0.2782059410724901,0.709775919,0.5675377,0.12146344041683244,-0.000163214
possum_regression,1,-1,0.9996946209138792,1,-1,0.27627904511142076,0.5415763827298407,0.2505492219610319,0.3471746532597877,-5.25E-05
possum_regression,1,0.9934540173938039,0.9999999999993386,1,2.175287780595337,0.22605970929134817,0.5268786396586719,0.13081048969165762,0.6314981905580527,0.000274296
possum_regression,1,-1,0.9999999994912466,1,-1,0.3186789344737771,0.5910756099621214,0.19262429983791773,0.5626625211840812,0.000115207
housing_prices,1,-1,1,1,-1,0.08106676,1,1,0.5359973457780801,0.061125348264908806
housing_prices,1,0.024911385986189583,1,1,0.5645477017950529,0.095883726,0.9123824909381956,0.8746563998201219,0.36649402577386836,0.00324529
housing_prices,1,0.9999999999983205,1,1,0.4080832228477005,0.1928366551384505,0.9706129289667533,0.9705458478799469,0.5175453394550111,0.026577232
housing_prices,1,0.9999384535417501,1,1,0.5541751342497825,0.025082037955167457,0.9410663297345818,0.9085360827289681,0.42071236618861674,0.012300094933644607
housing_prices,0,0.8868848841213959,1,1,0.2064310886944049,0.7276325999273339,0.876760287,0.8313812379456889,0.9182251334521897,0.003857045
housing_prices,0,0.9998641159396324,1,1,0.2714634975180623,0.5159499905489778,0.8989078596129997,0.846867648,0.9248453006488945,0.003389287
housing_prices,0,0.9831102621091197,1,1,0.3100742296002516,0.10808142111952077,0.9210103672699369,0.8887052530272916,0.92274292,0.009322607
housing_prices,0,0.797979928,1,1,0.1083508340287566,1,0.8966302867938531,0.8179653085093972,0.9324405910633953,0.00059298
housing_prices,0,0.999281572,1,1,0.3300974076850709,0.20760837983297797,0.9500630051904623,0.9523274754332717,0.907458553,0.016214185608744484
housing_prices,1,0.983642395,1,1,0.5679336270719626,0.12129892485738608,0.9389152861653086,0.9175304798553173,0.38439364863572645,0.005650142
